dUtime,dStime,dUser,dSystem,dIdle,dNice,dIowait,dIrq,dSoftirq,dSteal,dGuest,dGuest_nice,sys_usage,proc_usage
460,0,460,0,140,0,0,0,0,0,0,0,0.7666666666666667,0.7666666666666667
462,0,462,0,139,0,1,0,0,0,0,0,0.7674418604651163,0.7674418604651163
458,0,457,0,142,0,0,0,0,0,0,0,0.7629382303839732,0.7646076794657763
460,0,462,0,139,0,0,0,0,0,0,0,0.7687188019966722,0.7653910149750416
462,0,463,0,141,0,0,0,0,0,0,0,0.7665562913907285,0.7649006622516556
463,1,464,0,141,0,0,0,0,0,0,0,0.7669421487603306,0.7669421487603306
461,0,462,0,141,0,0,0,0,0,0,0,0.7661691542288557,0.7645107794361525
463,0,464,1,138,0,0,0,0,0,0,0,0.7711442786069652,0.7678275290215588
461,0,461,0,141,0,0,0,0,0,0,0,0.7657807308970099,0.7657807308970099
464,0,465,0,140,0,0,0,0,0,0,0,0.768595041322314,0.7669421487603306
465,0,465,0,140,0,1,0,0,0,0,0,0.7673267326732673,0.7673267326732673
461,0,463,0,139,0,0,0,0,0,0,0,0.7691029900332226,0.7657807308970099
464,0,464,1,140,0,0,0,0,0,0,0,0.768595041322314,0.7669421487603306
462,0,461,0,140,0,0,0,0,0,0,0,0.7670549084858569,0.7687188019966722
464,0,464,0,142,0,0,0,0,0,0,0,0.7656765676567657,0.7656765676567657
460,0,462,0,137,0,0,0,0,0,0,0,0.7712854757929883,0.7679465776293823
460,0,461,0,140,0,0,0,0,0,0,0,0.7670549084858569,0.7653910149750416
462,0,462,0,140,0,0,0,0,0,0,0,0.7674418604651163,0.7674418604651163
464,0,465,0,141,0,0,0,0,0,0,0,0.7673267326732673,0.7656765676567657
463,0,465,0,139,0,0,0,0,0,0,0,0.7698675496688742,0.7665562913907285
463,0,462,0,140,0,0,0,0,0,0,0,0.7674418604651163,0.7691029900332226
460,0,460,0,141,0,0,0,0,0,0,0,0.7653910149750416,0.7653910149750416
461,1,461,1,141,0,0,0,0,0,0,0,0.7661691542288557,0.7661691542288557
