dUtime,dStime,dUser,dSystem,dIdle,dNice,dIowait,dIrq,dSoftirq,dSteal,dGuest,dGuest_nice,sys_usage,proc_usage
129,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45104895104895104
130,0,129,0,188,0,0,0,0,0,0,0,0.4069400630914827,0.41009463722397477
129,0,130,0,157,0,1,0,0,0,0,0,0.4513888888888889,0.4479166666666667
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
129,0,130,0,173,0,0,0,0,0,0,0,0.429042904290429,0.42574257425742573
129,0,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.44947735191637633
129,0,134,0,153,0,0,0,0,0,0,0,0.46689895470383275,0.44947735191637633
129,0,129,0,168,0,0,0,0,0,0,0,0.43434343434343436,0.43434343434343436
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
129,0,129,0,180,0,1,0,0,0,0,0,0.4161290322580645,0.4161290322580645
129,0,130,0,156,0,0,0,0,0,0,0,0.45454545454545453,0.45104895104895104
130,0,130,0,157,0,0,0,0,0,0,0,0.4529616724738676,0.4529616724738676
129,0,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.44947735191637633
129,1,133,0,155,0,0,0,0,0,0,0,0.4618055555555556,0.4513888888888889
129,0,130,0,158,0,0,0,0,0,0,0,0.4513888888888889,0.4479166666666667
130,0,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.4529616724738676
130,0,130,0,180,0,0,0,0,0,0,0,0.41935483870967744,0.41935483870967744
129,0,129,0,160,0,0,0,0,0,0,0,0.4463667820069204,0.4463667820069204
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
129,0,131,0,165,0,0,0,0,0,0,0,0.44256756756756754,0.4358108108108108
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
130,0,129,0,180,0,0,0,0,0,0,0,0.4174757281553398,0.42071197411003236
129,0,130,0,156,0,0,0,0,0,0,0,0.45454545454545453,0.45104895104895104
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
129,0,130,0,157,0,0,0,0,0,0,0,0.4529616724738676,0.44947735191637633
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
130,0,133,0,158,0,0,0,0,0,0,0,0.4570446735395189,0.44673539518900346
129,0,130,0,156,0,0,0,0,0,0,0,0.45454545454545453,0.45104895104895104
129,0,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.44947735191637633
130,0,130,0,157,0,0,0,0,0,0,0,0.4529616724738676,0.4529616724738676
130,0,129,0,166,0,0,0,0,0,0,0,0.43728813559322033,0.4406779661016949
129,1,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
129,0,130,0,156,0,0,0,0,0,0,0,0.45454545454545453,0.45104895104895104
130,0,130,0,168,0,0,0,0,0,0,0,0.436241610738255,0.436241610738255
130,0,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.4529616724738676
129,0,129,0,160,0,0,0,0,0,0,0,0.4463667820069204,0.4463667820069204
130,0,130,0,166,0,0,0,0,0,0,0,0.4391891891891892,0.4391891891891892
129,0,129,0,170,0,0,0,0,0,0,0,0.431438127090301,0.431438127090301
130,0,130,0,157,0,0,0,0,0,0,0,0.4529616724738676,0.4529616724738676
130,0,132,0,166,0,0,0,0,0,0,0,0.4429530201342282,0.436241610738255
130,0,129,0,176,0,0,0,0,0,0,0,0.42295081967213116,0.4262295081967213
129,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45104895104895104
130,0,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.4529616724738676
129,0,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.44947735191637633
130,0,130,0,176,0,0,0,0,0,0,0,0.42483660130718953,0.42483660130718953
130,0,130,0,155,0,0,0,0,0,0,0,0.45614035087719296,0.45614035087719296
129,0,132,0,156,0,0,0,0,0,0,0,0.4583333333333333,0.4479166666666667
138,0,128,0,160,0,0,0,0,0,0,0,0.4444444444444444,0.4791666666666667
130,0,130,0,156,0,0,0,0,0,0,0,0.45454545454545453,0.45454545454545453
129,0,129,1,158,0,0,0,0,0,0,0,0.4513888888888889,0.4479166666666667
130,0,129,0,159,0,0,0,0,0,0,0,0.4479166666666667,0.4513888888888889
129,0,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.44947735191637633
130,0,129,0,184,0,0,0,0,0,0,0,0.41214057507987223,0.41533546325878595
129,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45104895104895104
130,0,130,0,157,0,0,0,0,0,0,0,0.4529616724738676,0.4529616724738676
129,0,129,0,169,0,0,0,0,0,0,0,0.43288590604026844,0.43288590604026844
129,1,128,0,157,0,0,0,0,0,0,0,0.44912280701754387,0.45614035087719296
129,0,130,0,158,0,0,0,0,0,0,0,0.4513888888888889,0.4479166666666667
130,0,130,0,154,0,0,0,0,0,0,0,0.45774647887323944,0.45774647887323944
129,0,131,0,155,0,0,0,0,0,0,0,0.458041958041958,0.45104895104895104
129,0,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.44947735191637633
129,0,129,0,176,0,0,0,0,0,0,0,0.42295081967213116,0.42295081967213116
129,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45104895104895104
130,0,130,0,151,0,0,0,0,0,0,0,0.4626334519572954,0.4626334519572954
129,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45104895104895104
129,0,129,1,158,0,0,0,0,0,0,0,0.4513888888888889,0.4479166666666667
130,0,130,0,155,0,0,0,0,0,0,0,0.45614035087719296,0.45614035087719296
129,1,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.4529616724738676
130,0,130,0,157,0,0,0,0,0,0,0,0.4529616724738676,0.4529616724738676
129,0,129,0,176,0,0,0,0,0,0,0,0.42295081967213116,0.42295081967213116
130,0,130,0,158,0,0,0,0,0,0,0,0.4513888888888889,0.4513888888888889
130,0,129,0,156,0,0,0,0,0,0,0,0.45263157894736844,0.45614035087719296
129,0,133,0,156,0,0,0,0,0,0,0,0.4602076124567474,0.4463667820069204
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
129,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45104895104895104
130,0,129,0,158,0,1,0,0,0,0,0,0.4479166666666667,0.4513888888888889
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
129,0,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.44947735191637633
130,0,132,0,159,0,0,0,0,0,0,0,0.4536082474226804,0.44673539518900346
129,0,131,0,156,0,0,0,0,0,0,0,0.4564459930313589,0.44947735191637633
130,0,130,0,163,0,0,0,0,0,0,0,0.44368600682593856,0.44368600682593856
130,0,129,0,158,0,0,0,0,0,0,0,0.44947735191637633,0.4529616724738676
129,0,130,0,151,0,0,0,0,0,0,0,0.4626334519572954,0.45907473309608543
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
129,0,130,0,156,0,0,0,0,0,0,0,0.45454545454545453,0.45104895104895104
130,0,129,0,170,0,0,0,0,0,0,0,0.431438127090301,0.43478260869565216
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
129,0,130,1,160,0,0,0,0,0,0,0,0.45017182130584193,0.44329896907216493
129,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45104895104895104
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
130,0,131,0,155,0,0,0,0,0,0,0,0.458041958041958,0.45454545454545453
129,0,130,0,157,0,0,0,0,0,0,0,0.4529616724738676,0.44947735191637633
130,0,130,0,155,0,0,0,0,0,0,0,0.45614035087719296,0.45614035087719296
129,0,130,0,169,0,0,0,0,0,0,0,0.43478260869565216,0.431438127090301
130,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45454545454545453
129,0,129,0,157,0,0,0,0,0,0,0,0.45104895104895104,0.45104895104895104
129,0,130,0,157,0,0,0,0,0,0,0,0.4529616724738676,0.44947735191637633
135,0,130,0,157,0,0,0,0,0,0,0,0.4529616724738676,0.47038327526132406
129,0,130,0,157,0,0,0,0,0,0,0,0.4529616724738676,0.44947735191637633
130,0,129,0,173,0,0,0,0,0,0,0,0.4271523178807947,0.4304635761589404
