dUtime,dStime,dUser,dSystem,dIdle,dNice,dIowait,dIrq,dSoftirq,dSteal,dGuest,dGuest_nice,sys_usage,proc_usage
331,0,302,0,269,0,0,0,0,0,0,0,0.5288966725043783,0.5796847635726795
338,0,308,0,273,0,0,0,0,0,0,0,0.5301204819277109,0.5817555938037866
333,0,303,0,268,0,1,0,0,0,0,0,0.5297202797202797,0.5821678321678322
336,0,311,0,267,0,0,0,0,0,0,0,0.5380622837370242,0.5813148788927336
333,0,303,0,269,0,0,0,0,0,0,0,0.5297202797202797,0.5821678321678322
333,0,304,0,269,0,0,0,0,0,0,0,0.5305410122164049,0.581151832460733
332,0,303,0,270,0,0,0,0,0,0,0,0.5287958115183246,0.5794066317626527
336,0,307,0,269,0,0,0,0,0,0,0,0.5329861111111112,0.5833333333333334
336,1,307,1,272,0,0,0,0,0,0,0,0.5310344827586206,0.5810344827586207
334,0,304,0,271,0,0,0,0,0,0,0,0.528695652173913,0.5808695652173913
335,0,306,0,272,0,0,0,0,0,0,0,0.5294117647058824,0.5795847750865052
337,0,308,0,270,0,0,0,0,0,0,0,0.532871972318339,0.583044982698962
332,0,304,0,268,0,0,0,0,0,0,0,0.5314685314685315,0.5804195804195804
334,0,304,0,270,0,0,0,0,0,0,0,0.5296167247386759,0.5818815331010453
333,0,304,0,270,0,0,0,0,0,0,0,0.5296167247386759,0.5801393728222997
334,0,305,0,270,0,0,0,0,0,0,0,0.5304347826086957,0.5808695652173913
333,0,303,0,269,0,0,0,0,0,0,0,0.5297202797202797,0.5821678321678322
336,0,306,0,272,0,0,0,0,0,0,0,0.5294117647058824,0.5813148788927336
336,0,308,0,269,0,0,0,0,0,0,0,0.5337954939341422,0.5823223570190641
334,0,306,0,270,0,0,0,0,0,0,0,0.53125,0.5798611111111112
336,1,308,0,271,0,0,0,0,0,0,0,0.531951640759931,0.5820379965457686
334,0,304,0,272,0,0,0,0,0,0,0,0.5277777777777778,0.5798611111111112
340,0,310,0,275,0,0,0,0,0,0,0,0.5299145299145299,0.5811965811965812
332,0,305,0,268,0,0,0,0,0,0,0,0.5322862129144852,0.5794066317626527
334,0,305,0,270,0,1,0,0,0,0,0,0.5295138888888888,0.5798611111111112
335,0,306,0,271,0,0,0,0,0,0,0,0.5303292894280762,0.5805892547660312
332,0,303,0,270,0,0,0,0,0,0,0,0.5287958115183246,0.5794066317626527
334,0,307,0,269,0,0,0,0,0,0,0,0.5329861111111112,0.5798611111111112
