dUtime,dStime,dUser,dSystem,dIdle,dNice,dIowait,dIrq,dSoftirq,dSteal,dGuest,dGuest_nice,sys_usage,proc_usage
130,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3080568720379147
130,0,129,0,291,0,1,0,0,0,0,0,0.30641330166270786,0.3087885985748218
129,1,131,1,290,0,0,0,0,0,0,0,0.3127962085308057,0.3080568720379147
130,0,130,0,292,0,1,0,0,0,0,0,0.3073286052009456,0.3073286052009456
129,0,129,0,292,0,0,0,0,0,0,0,0.30641330166270786,0.30641330166270786
130,0,130,0,293,0,0,0,0,0,0,0,0.3073286052009456,0.3073286052009456
130,0,130,0,291,0,0,0,0,0,0,0,0.3087885985748218,0.3087885985748218
129,0,128,0,293,0,0,0,0,0,0,0,0.30403800475059384,0.30641330166270786
130,0,129,0,293,0,0,0,0,0,0,0,0.3056872037914692,0.3080568720379147
129,0,130,0,291,0,0,0,0,0,0,0,0.3087885985748218,0.30641330166270786
130,0,131,0,290,0,0,0,0,0,0,0,0.31116389548693585,0.3087885985748218
130,0,129,0,291,0,0,0,0,0,0,0,0.30714285714285716,0.30952380952380953
129,0,130,0,291,0,0,0,0,0,0,0,0.3087885985748218,0.30641330166270786
130,0,131,0,289,0,0,0,0,0,0,0,0.3119047619047619,0.30952380952380953
129,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3056872037914692
129,0,129,0,291,0,1,0,0,0,0,0,0.30641330166270786,0.30641330166270786
130,0,129,0,292,0,0,0,0,0,0,0,0.30641330166270786,0.3087885985748218
130,0,130,0,295,0,0,0,0,0,0,0,0.3058823529411765,0.3058823529411765
129,0,129,0,293,0,0,0,0,0,0,0,0.3056872037914692,0.3056872037914692
129,0,131,0,291,0,0,0,0,0,0,0,0.3104265402843602,0.3056872037914692
130,0,129,0,292,0,0,0,0,0,0,0,0.30641330166270786,0.3087885985748218
130,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3080568720379147
129,0,129,0,292,0,0,0,0,0,0,0,0.30641330166270786,0.30641330166270786
129,0,130,0,291,0,0,0,0,0,0,0,0.3087885985748218,0.30641330166270786
130,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3080568720379147
129,0,130,0,292,0,1,0,0,0,0,0,0.3073286052009456,0.3049645390070922
130,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3080568720379147
130,0,129,0,291,0,0,0,0,0,0,0,0.30714285714285716,0.30952380952380953
129,0,130,0,293,0,0,0,0,0,0,0,0.3073286052009456,0.3049645390070922
130,0,130,0,291,0,1,0,0,0,0,0,0.3080568720379147,0.3080568720379147
130,0,130,0,291,0,0,0,0,0,0,0,0.3087885985748218,0.3087885985748218
129,0,129,0,292,0,0,0,0,0,0,0,0.30641330166270786,0.30641330166270786
130,1,129,0,293,0,0,0,0,0,0,0,0.3056872037914692,0.3104265402843602
129,0,129,0,291,0,0,0,0,0,0,0,0.30714285714285716,0.30714285714285716
130,0,131,0,289,0,0,0,0,0,0,0,0.3119047619047619,0.30952380952380953
129,0,129,0,291,0,0,0,0,0,0,0,0.30714285714285716,0.30714285714285716
130,0,129,0,292,0,0,0,0,0,0,0,0.30641330166270786,0.3087885985748218
130,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3080568720379147
130,0,129,0,292,0,0,0,0,0,0,0,0.30641330166270786,0.3087885985748218
129,0,131,0,291,0,1,0,0,0,0,0,0.30969267139479906,0.3049645390070922
130,0,129,0,294,0,0,0,0,0,0,0,0.3049645390070922,0.3073286052009456
129,0,129,0,291,0,0,0,0,0,0,0,0.30714285714285716,0.30714285714285716
130,0,130,0,291,0,0,0,0,0,0,0,0.3087885985748218,0.3087885985748218
129,0,129,0,292,0,0,0,0,0,0,0,0.30641330166270786,0.30641330166270786
130,0,132,1,289,0,0,0,0,0,0,0,0.31516587677725116,0.3080568720379147
129,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3056872037914692
129,0,130,0,293,0,0,0,0,0,0,0,0.3073286052009456,0.3049645390070922
130,0,129,0,292,0,1,0,0,0,0,0,0.3056872037914692,0.3080568720379147
130,0,129,0,291,0,0,0,0,0,0,0,0.30714285714285716,0.30952380952380953
129,0,130,0,290,0,0,0,0,0,0,0,0.30952380952380953,0.30714285714285716
129,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3056872037914692
130,0,129,0,292,0,0,0,0,0,0,0,0.30641330166270786,0.3087885985748218
130,0,130,0,291,0,0,0,0,0,0,0,0.3087885985748218,0.3087885985748218
129,0,129,0,290,0,0,0,0,0,0,0,0.30787589498806683,0.30787589498806683
130,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3080568720379147
129,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3056872037914692
130,0,129,0,292,0,0,0,0,0,0,0,0.30641330166270786,0.3087885985748218
130,0,130,0,292,0,1,0,0,0,0,0,0.3073286052009456,0.3073286052009456
129,0,130,0,293,0,0,0,0,0,0,0,0.3073286052009456,0.3049645390070922
130,0,129,0,291,0,0,0,0,0,0,0,0.30714285714285716,0.30952380952380953
129,0,130,0,293,0,0,0,0,0,0,0,0.3073286052009456,0.3049645390070922
130,0,129,0,292,0,0,0,0,0,0,0,0.30641330166270786,0.3087885985748218
130,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3080568720379147
129,0,129,0,291,0,0,0,0,0,0,0,0.30714285714285716,0.30714285714285716
130,0,130,0,292,0,0,0,0,0,0,0,0.3080568720379147,0.3080568720379147
129,0,131,0,292,0,0,0,0,0,0,0,0.30969267139479906,0.3049645390070922
130,0,131,0,289,0,0,0,0,0,0,0,0.3119047619047619,0.30952380952380953
130,0,130,0,292,0,1,0,0,0,0,0,0.3073286052009456,0.3073286052009456
