dUtime,dStime,dUser,dSystem,dIdle,dNice,dIowait,dIrq,dSoftirq,dSteal,dGuest,dGuest_nice,sys_usage,proc_usage
186,0,186,0,419,0,0,0,0,0,0,0,0.3074380165289256,0.3074380165289256
187,0,187,0,418,0,1,0,0,0,0,0,0.3085808580858086,0.3085808580858086
186,0,188,0,418,0,0,0,0,0,0,0,0.3102310231023102,0.3069306930693069
186,0,189,0,417,0,0,0,0,0,0,0,0.3118811881188119,0.3069306930693069
189,0,189,0,423,0,0,0,0,0,0,0,0.3088235294117647,0.3088235294117647
186,0,187,1,419,0,0,0,0,0,0,0,0.30971993410214166,0.30642504118616143
187,0,188,0,418,0,0,0,0,0,0,0,0.3102310231023102,0.3085808580858086
189,0,191,0,424,0,0,0,0,0,0,0,0.3105691056910569,0.3073170731707317
186,0,186,0,416,0,2,0,0,0,0,0,0.3079470198675497,0.3079470198675497
186,0,187,0,421,0,0,0,0,0,0,0,0.30756578947368424,0.3059210526315789
184,0,185,0,414,0,0,0,0,0,0,0,0.3088480801335559,0.3071786310517529
186,0,188,0,417,0,0,0,0,0,0,0,0.31074380165289256,0.3074380165289256
187,0,187,0,418,0,0,0,0,0,0,0,0.3090909090909091,0.3090909090909091
189,0,189,0,425,0,0,0,0,0,0,0,0.30781758957654726,0.30781758957654726
188,0,190,0,425,0,1,0,0,0,0,0,0.30844155844155846,0.3051948051948052
186,0,187,0,417,0,0,0,0,0,0,0,0.30960264900662254,0.3079470198675497
186,0,186,0,421,0,0,0,0,0,0,0,0.30642504118616143,0.30642504118616143
185,0,186,0,418,0,0,0,0,0,0,0,0.3079470198675497,0.30629139072847683
189,0,190,0,423,0,0,0,0,0,0,0,0.3099510603588907,0.3083197389885807
187,0,189,0,417,0,0,0,0,0,0,0,0.3118811881188119,0.3085808580858086
189,0,190,0,424,0,0,0,0,0,0,0,0.30944625407166126,0.30781758957654726
186,0,187,0,420,0,1,0,0,0,0,0,0.30756578947368424,0.3059210526315789
186,0,187,0,416,0,0,0,0,0,0,0,0.3101160862354892,0.30845771144278605
184,0,187,1,419,0,0,0,0,0,0,0,0.30971993410214166,0.3031301482701812
189,0,189,0,425,0,0,0,0,0,0,0,0.30781758957654726,0.30781758957654726
188,0,189,0,424,0,0,0,0,0,0,0,0.3083197389885807,0.3066884176182708
185,0,186,0,418,0,0,0,0,0,0,0,0.3079470198675497,0.30629139072847683
186,0,190,0,414,0,0,0,0,0,0,0,0.31456953642384106,0.3079470198675497
186,0,186,0,420,0,0,0,0,0,0,0,0.3069306930693069,0.3069306930693069
188,0,190,0,423,0,0,0,0,0,0,0,0.3099510603588907,0.3066884176182708
185,0,185,0,418,0,0,0,0,0,0,0,0.3067993366500829,0.3067993366500829
189,0,190,0,423,0,0,0,0,0,0,0,0.3099510603588907,0.3083197389885807
186,0,189,0,418,0,0,0,0,0,0,0,0.3113673805601318,0.30642504118616143
187,0,187,0,417,0,0,0,0,0,0,0,0.30960264900662254,0.30960264900662254
189,0,189,0,426,0,0,0,0,0,0,0,0.3073170731707317,0.3073170731707317
185,0,187,0,417,0,0,0,0,0,0,0,0.30960264900662254,0.30629139072847683
186,0,186,0,418,0,1,0,0,0,0,0,0.3074380165289256,0.3074380165289256
185,0,186,0,419,0,0,0,0,0,0,0,0.3074380165289256,0.30578512396694213
187,0,187,0,419,0,0,0,0,0,0,0,0.3085808580858086,0.3085808580858086
186,0,187,0,417,0,0,0,0,0,0,0,0.30960264900662254,0.3079470198675497
185,0,186,1,418,0,0,0,0,0,0,0,0.3090909090909091,0.30578512396694213
186,0,186,0,419,0,0,0,0,0,0,0,0.3074380165289256,0.3074380165289256
187,0,187,0,420,0,1,0,0,0,0,0,0.30756578947368424,0.30756578947368424
189,0,191,0,422,0,0,0,0,0,0,0,0.31158238172920066,0.3083197389885807
184,0,184,0,416,0,0,0,0,0,0,0,0.30666666666666664,0.30666666666666664
188,0,188,0,424,0,0,0,0,0,0,0,0.30718954248366015,0.30718954248366015
189,0,189,0,423,0,0,0,0,0,0,0,0.3088235294117647,0.3088235294117647
186,0,187,0,418,0,0,0,0,0,0,0,0.3090909090909091,0.3074380165289256
186,0,185,0,418,0,0,0,0,0,0,0,0.3067993366500829,0.30845771144278605
189,0,189,0,425,0,0,0,0,0,0,0,0.30781758957654726,0.30781758957654726
188,0,189,0,426,0,0,0,0,0,0,0,0.3073170731707317,0.3056910569105691
185,0,186,0,415,0,0,0,0,0,0,0,0.30948419301164726,0.30782029950083195
186,0,187,0,418,0,0,0,0,0,0,0,0.3090909090909091,0.3074380165289256
186,0,187,0,419,0,0,0,0,0,0,0,0.3085808580858086,0.3069306930693069
187,0,187,0,421,0,0,0,0,0,0,0,0.30756578947368424,0.30756578947368424
184,0,185,0,415,0,0,0,0,0,0,0,0.30833333333333335,0.30666666666666664
187,0,187,0,422,0,0,0,0,0,0,0,0.3070607553366174,0.3070607553366174
184,0,185,0,415,0,0,0,0,0,0,0,0.30833333333333335,0.30666666666666664
184,1,186,0,416,0,0,0,0,0,0,0,0.3089700996677741,0.3073089700996678
187,0,189,0,417,0,0,0,0,0,0,0,0.3118811881188119,0.3085808580858086
186,0,187,0,420,0,0,0,0,0,0,0,0.30807248764415157,0.30642504118616143
188,0,188,0,422,0,0,0,0,0,0,0,0.3081967213114754,0.3081967213114754
189,0,189,0,427,0,0,0,0,0,0,0,0.3068181818181818,0.3068181818181818
184,0,187,1,415,0,0,0,0,0,0,0,0.3117744610281924,0.30514096185737977
186,0,186,0,419,0,0,0,0,0,0,0,0.3074380165289256,0.3074380165289256
186,0,187,0,419,0,0,0,0,0,0,0,0.3085808580858086,0.3069306930693069
189,0,190,0,425,0,1,0,0,0,0,0,0.30844155844155846,0.3068181818181818
186,1,188,1,420,0,0,0,0,0,0,0,0.3103448275862069,0.3070607553366174
186,0,185,0,418,0,0,0,0,0,0,0,0.3067993366500829,0.30845771144278605
186,0,187,0,419,0,0,0,0,0,0,0,0.3085808580858086,0.3069306930693069
187,0,186,0,419,0,0,0,0,0,0,0,0.3074380165289256,0.3090909090909091
186,0,188,0,417,0,0,0,0,0,0,0,0.31074380165289256,0.3074380165289256
189,0,189,0,425,0,0,0,0,0,0,0,0.30781758957654726,0.30781758957654726
