dUtime,dStime,dUser,dSystem,dIdle,dNice,dIowait,dIrq,dSoftirq,dSteal,dGuest,dGuest_nice,sys_usage,proc_usage
281,0,281,0,329,0,0,0,0,0,0,0,0.460655737704918,0.460655737704918
279,0,280,0,325,0,2,0,0,0,0,0,0.4612850082372323,0.4596375617792422
280,0,280,0,325,0,0,0,0,0,0,0,0.4628099173553719,0.4628099173553719
281,0,285,0,326,0,1,0,0,0,0,0,0.46568627450980393,0.4591503267973856
280,0,280,0,326,0,0,0,0,0,0,0,0.46204620462046203,0.46204620462046203
281,0,281,0,330,0,0,0,0,0,0,0,0.45990180032733224,0.45990180032733224
280,0,281,0,328,0,0,0,0,0,0,0,0.4614121510673235,0.45977011494252873
280,0,282,0,328,0,0,0,0,0,0,0,0.46229508196721314,0.45901639344262296
278,0,279,0,325,0,0,0,0,0,0,0,0.46192052980132453,0.4602649006622517
277,0,278,0,325,0,0,0,0,0,0,0,0.46102819237147596,0.4593698175787728
278,0,278,0,326,0,0,0,0,0,0,0,0.4602649006622517,0.4602649006622517
278,0,281,0,323,0,0,0,0,0,0,0,0.4652317880794702,0.4602649006622517
279,0,280,0,326,0,0,0,0,0,0,0,0.46204620462046203,0.4603960396039604
277,0,277,0,325,0,0,0,0,0,0,0,0.4601328903654485,0.4601328903654485
275,0,277,0,324,0,0,0,0,0,0,0,0.46089850249584025,0.45757071547420963
280,0,282,0,325,0,0,0,0,0,0,0,0.4645799011532125,0.4612850082372323
281,0,281,0,329,0,0,0,0,0,0,0,0.460655737704918,0.460655737704918
276,0,278,0,325,0,0,0,0,0,0,0,0.46102819237147596,0.4577114427860697
279,0,277,0,325,0,0,0,0,0,0,0,0.4601328903654485,0.4634551495016611
278,0,279,0,324,0,0,0,0,0,0,0,0.4626865671641791,0.46102819237147596
278,0,279,0,326,0,0,0,0,0,0,0,0.46115702479338844,0.45950413223140496
278,0,278,0,325,0,0,0,0,0,0,0,0.46102819237147596,0.46102819237147596
281,0,282,0,330,0,0,0,0,0,0,0,0.46078431372549017,0.4591503267973856
276,0,279,0,321,0,1,0,0,0,0,0,0.46422628951747086,0.45923460898502494
278,0,278,0,324,0,0,0,0,0,0,0,0.46179401993355484,0.46179401993355484
281,0,283,0,329,0,0,0,0,0,0,0,0.4624183006535948,0.4591503267973856
281,0,282,0,329,0,0,0,0,0,0,0,0.46153846153846156,0.45990180032733224
280,0,281,1,327,0,0,0,0,0,0,0,0.4630541871921182,0.45977011494252873
278,0,279,0,324,0,0,0,0,0,0,0,0.4626865671641791,0.46102819237147596
277,0,278,0,326,0,0,0,0,0,0,0,0.4602649006622517,0.4586092715231788
277,0,278,0,325,0,0,0,0,0,0,0,0.46102819237147596,0.4593698175787728
278,0,278,0,323,0,0,0,0,0,0,0,0.46256239600665555,0.46256239600665555
278,0,278,0,323,0,0,0,0,0,0,0,0.46256239600665555,0.46256239600665555
278,0,279,0,327,0,0,0,0,0,0,0,0.4603960396039604,0.45874587458745875
281,0,280,0,328,0,1,0,0,0,0,0,0.45977011494252873,0.4614121510673235
277,0,280,1,322,0,0,0,0,0,0,0,0.4660033167495854,0.4593698175787728
279,0,279,0,326,0,0,0,0,0,0,0,0.46115702479338844,0.46115702479338844
278,0,278,0,324,0,0,0,0,0,0,0,0.46179401993355484,0.46179401993355484
278,0,279,0,326,0,0,0,0,0,0,0,0.46115702479338844,0.45950413223140496
281,0,282,0,325,0,2,0,0,0,0,0,0.4630541871921182,0.4614121510673235
277,0,278,0,324,0,0,0,0,0,0,0,0.46179401993355484,0.4601328903654485
279,0,280,0,325,0,0,0,0,0,0,0,0.4628099173553719,0.46115702479338844
279,0,280,0,325,0,0,0,0,0,0,0,0.4628099173553719,0.46115702479338844
279,0,282,1,323,0,0,0,0,0,0,0,0.466996699669967,0.4603960396039604
279,0,279,0,326,0,0,0,0,0,0,0,0.46115702479338844,0.46115702479338844
277,0,278,0,323,0,0,0,0,0,0,0,0.46256239600665555,0.46089850249584025
279,0,280,0,328,0,0,0,0,0,0,0,0.4605263157894737,0.4588815789473684
278,0,280,0,325,0,0,0,0,0,0,0,0.4628099173553719,0.45950413223140496
278,0,279,0,326,0,0,0,0,0,0,0,0.46115702479338844,0.45950413223140496
281,0,282,0,328,0,0,0,0,0,0,0,0.46229508196721314,0.460655737704918
